Texture,Source,author
BLUE_FLAG01,,?,
RED_FLAG01,,?,
afloor3_1,qcompat_med/afloor3_1,?,
barrow,qcompat_wizard/arrow_m,?,
blueflag,,?,
blueflg1,,?,
brock4_2,qcompat_wizard/rock4_2,?,
bwood2,,?,
bwswamp2_1_1,qcompat_wizard/wswamp2_1,?,
city2_1r,qcompat_med/city2_1,?,
city2_5,qcompat_med/city2_1,?,
city2_5b,qcompat_med/city2_5,?,
city2_8_1_grey,qcompat_med/city2_8,?,
city2_8b,qcompat_med/city2_8,?,
city2_8r,qcompat_med/city2_8,?,
city5_8,qcompat_wizard/wbrick1_5,?,
city6_4b,qcompat_jrmed/city6_4,?,
city6_4r,qcompat_jrmed/city6_4,?,
city_2_8b_1_grey,qcompat_med/city2_8,?,
city_2_8r_1_grey,qcompat_med/city2_8,?,
column1_4b,qcompat_med/column1_4,?,
column1_4r,qcompat_med/column1_4,?,
cop1_1b,qcompat_metal/cop1_1,?,
cop1_1r,qcompat_metal/cop1_1,?,
cop1_2b,qcompat_metal/cop1_2,?,
cop1_2r,qcompat_metal/cop1_2,?,
ctf1_2,?,?,
ctfbbs3,lq_tech/t_wall7b lq_tech/t_blok05,?,
ctfbbs3,qcompat_med/city3_2,?,
ctfbbs3_1_grey,lq_tech/t_wall7b lq_tech/t_blok05,?,
ctfbbs4,qcompat_metal/metal4_2 qcompat_metal/metal4_4,?,
ctfbflg,,?,
ctfbfm,,?,
ctfbfr1,,?,
ctfbfr2,,?,
ctfbt1,tech14_1,?,
ctfbtdr,qcompat_base/edoor01_1,azure-midsummer,
ctfflag_b5,,?,
ctfflag_b6,,?,
ctfflag_r5,,?,
ctfflag_r6,,?,
ctfmet_r01,qcompat_wizard/city5_1,?,
ctfmet_r03,qcompat_wizard/metal1_6,?,
ctfmet_r04,qcompat_wizard/metal2_1,?,
ctfmet_r08,qcompat_start/wmet3_1,?,
ctfrbs3,lq_tech/t_wall7b lq_tech/t_blok05,?,
ctfrbs3,qcompat_med/city3_2,?,
ctfrbs3_1_grey,lq_tech/t_wall7b lq_tech/t_blok05,?,
ctfrbs4,qcompat_metal/metal4_2 qcompat_metal/metal4_4,?,
ctfrfb1,,?,
ctfrflg,,?,
ctfrfm,,?,
ctfrfr1,,?,
ctfrfr2,,?,
ctfrt1,tech14_1,?,
ctfrtdr,qcompat_base/edoor01_1,azure-midsummer,
ctftex_r1_1,qcompat_wizard/city4_7,?,
metal1r6,qcompat_wizard/metal1_6,?,
metal5r8,qcompat_wizard/metal5_8,?,
metal6_4_fbr,qcompat_wizard/metal6_3_fbr,?,
mmetal1_2b,qcompat_metal/mmetal1_2,?,
mmetal1_2r,qcompat_metal/mmetal1_2,?,
rarrow,qcompat_wizard/arrow_m,?,
redflag,,?,
redflg1,,?,
rock4_2b,qcompat_med/rock4_2,?,
rock4_2r,qcompat_med/rock4_2,?,
rrock4_2,qcompat_wizard/rock4_2,?,
rwood2,,?,
rwswamp2_1_1,qcompat_wizard/wswamp2_1,?,
sfloor4_2b,qcompat_base/sfloor4_2,?,
sfloor4_2r,qcompat_base/sfloor4_2,?,
sky_tele_1_blue,qcompat_med/sky4,?,
star_02owat,qcompat_base/star_slime0,?,
star_04mwat2,qcompat_start/star_water2,?,
teambl1,,?,
teambl2,,?,
teamrd1,,?,
teamrd2,,?,
tech10_1b,,?,
tech10_1r,,?,
tech1_4b,lq_tech/t_wall7b lq_tech/t_blok05,?,
tech1_4r,lq_tech/t_wall7b lq_tech/t_blok05,?,
twall5_2b,,?,
twall5_2r,,?,
wall11_2b,,?,
wall11_2r,,?,
window01,qcompat_wizard/window03,?,
window1_3,qcompat_med/window1_2,?,
wizmet1_3b,qcompat_wizard/wizmet1_3,?,
wizmet1_3r,qcompat_wizard/wizmet1_3,?,
xeno1/sky4,qcompat_med/sky4,?,
