Map,Status,WADs,Custom Textures,Textures Left
allstart,Completed,TEXTURES.wad textures.wad TEXTURES.wad,bwood2 ctfbbs3 ctfbflg ctfbfm ctfrflg ctfrfm metal1r6 RARROW rwood2 sky4,,
ctf1,WIP,quake101.wad,ctfbbs3 ctfbfm ctfrbs3 ctfrfm metal1r6 metal2r8 metal5r8 qtex08,qtex08,
ctf2,WIP,ctf_kiln.wad,afloor3_1 c-black c-blue c-red city2_1 city5_8 ctfbfm ctfrfm desg-1 desg-2 metal6_4,city2_1 desg-1 desg-2,
ctf3,WIP,quake101.wad,BARROW BLUECON GRAYMET3 RARROW REDCON UnNamed22 UnNamed33 UnNamed37 UnNamed38,BLUECON GRAYMET3 REDCON,
ctf4,WIP,(field removed),blueflg1 c-blue c-red desg-1 desg-2 redflg1,desg-1 desg-2,
ctf5,WIP,texture.wad,#04mwat2 bwood2 rwood2 UnNamed8 UnNamed15 UnNamed4 yline1 ywood1,UnNamed8 UnNamed15 UnNamed4 yline1 ywood1,
ctf6,Completed,quake101.wad,ctfbfm ctfrfm,,
ctf7,Completed,quake101.wad,ctfbfr1 ctfrfr2 sky4,,
ctf8,Completed,base.wad,BLUE_FLAG01 RED_FLAG01,,
ctf2m1,WIP,quake101.wad,ctfbbs3 ctfbt1 ctfbtdr ctfrbs3 ctfrt1 ctfrtdr metal1r6 metal2r8 metal5r8 qtex08,qtex08,
ctf2m2,Completed,quakectf.wad,ctfbb5 ctfbr5 ctfflag_b5 ctfflag_b6 ctfflag_r5 ctfflag_r6 ctfmet_r01 ctfmet_r03 ctfmet_r04 ctfmet_r08 ctftex_r1_1 ctftex_r3,,
ctf2m3,Completed,quake101.wad,c-blue c-red ctfbfm ctfrfm METAL2 metal6_4,,
ctf2m4,Completed,(field removed),#02owat #04mwat2 #lava2 ctfbfr1 ctfrfr1 sky4,,
ctf2m5,WIP,hex.wad,BARROW c-black c-white city2_0 ctfbbs4 ctfbfm ctfbfr2 ctfrbs5 ctfrfb1 ctfrfr2 RARROW sky2 tlightb tlightr,city2_0,
ctf2m6,Completed,(field removed),bwood2 rwood2,,
ctf2m7,WIP,all.wad,m5_2 metal1_8 metal5_7 teambl1 teambl2 teamrd1 teamrd2 wall2_8 wall6_7 wall16_4 wall16_5 wall16_6 wall16_8 window01 wiz1_2 wiz1_3,m5_2 metal1_8 wall2_8 wall6_7 wall16_4 wall16_5 wall16_6 wall16_8 wiz1_2 wiz1_3,
